ticker,quantity,entry_price,entry_date,tags
QQQ,528,291.1,2025-05-24,"core,long-term"
SPY,972,349.15,2025-05-28,momentum
AAPL,190,308.34,2025-05-05,
GOOGL240315P00120000,28,26.67,2025-06-06,momentum
AAPL240315C00150000,4,25.46,2025-05-11,
NFLX,823,261.98,2025-06-17,
AAPL240315C00150000,26,37.64,2025-04-25,"hedge,protection"
TSLA,955,50.13,2025-05-01,"growth,tech"
TSLA,680,268.44,2025-05-22,"growth,tech"
SPY,968,288.34,2025-07-12,momentum
AAPL240315C00150000,45,6.39,2025-07-10,momentum
AAPL,174,455.0,2025-07-09,momentum
GOOGL,184,298.92,2025-06-05,
NVDA,759,54.7,2025-07-08,momentum
SPY,989,361.07,2025-06-11,momentum
GOOGL240315P00120000,20,2.19,2025-06-18,
AAPL,148,377.56,2025-06-26,"value,dividend"
AAPL,721,370.76,2025-05-30,
MSFT240315C00300000,43,12.87,2025-05-25,momentum
META,682,87.31,2025-05-24,"hedge,protection"
QQQ,56,54.13,2025-05-17,"value,dividend"
NFLX,72,199.89,2025-05-26,"growth,tech"
MSFT,766,432.08,2025-04-26,
MSFT240315C00300000,38,30.14,2025-04-24,momentum
QQQ,338,401.95,2025-07-13,"core,long-term"
NFLX,157,323.03,2025-06-30,"core,long-term"
META,292,328.74,2025-05-18,"hedge,protection"
NVDA,15,292.06,2025-04-29,
MSFT,987,260.25,2025-06-02,momentum
NFLX,711,220.77,2025-06-22,momentum
MSFT240315C00300000,8,26.78,2025-06-14,
AAPL240315C00150000,47,12.39,2025-07-08,"value,dividend"
TSLA,12,161.18,2025-04-16,momentum
META,872,432.44,2025-05-14,
SPY,627,460.34,2025-05-19,"core,long-term"
GOOGL,468,275.42,2025-06-21,
TSLA,342,471.64,2025-05-19,"value,dividend"
MSFT,874,338.83,2025-05-13,"value,dividend"
AAPL240315C00150000,45,37.75,2025-06-15,"core,long-term"
MSFT,609,256.29,2025-05-03,"core,long-term"
SPY,732,122.81,2025-05-19,momentum
TSLA,810,200.57,2025-05-28,"hedge,protection"
GOOGL240315P00120000,32,31.97,2025-05-15,"value,dividend"
META,585,206.07,2025-07-13,"growth,tech"
MSFT,927,354.63,2025-06-19,momentum
MSFT240315C00300000,6,25.28,2025-06-26,momentum
NVDA,308,210.52,2025-06-15,"core,long-term"
MSFT240315C00300000,48,32.97,2025-06-06,"growth,tech"
TSLA,681,191.83,2025-05-27,"hedge,protection"
AAPL,96,75.71,2025-06-24,"core,long-term"
